NVIC_id,SMILES,CLp_c,CLr,T50,MRT
NVIC0001,NCC(=O)Nc1ccc(-n2nc(C(F)(F)F)cc2-c2ccc3c(ccc4ccccc43)c2)cc1,0.2646563947200775,0.5546927452087402,-2.115033627,-2.101150751
NVIC0002,COc1ccc2cc1Oc1ccc(cc1)C[C@H]1c3c(cc4c(c3Oc3cc5c(cc3OC)CCN(C)[C@@H]5C2)OCO4)CCN1C,0.5609540939331055,0.4939718246459961,-2.054216385,-2.072017908
NVIC0003,C=C(C)[C@@H]1Cc2c(ccc3c2NC(=O)[C@]32C[C@@]34NC(=O)[C@]5(CCCN5C3=O)C[C@@H]4C2(C)C)O1,0.5534639954566956,0.5403391122817993,-0.8301534057,-0.7847003937
NVIC0004,CC(=O)C12c3ccccc3C(c3ccccc31)[C@H]1C(=O)N(c3cccc(C(F)(F)F)c3)C(=O)[C@@H]12,0.3686405122280121,0.38567766547203064,-1.588992238,-1.511682868
NVIC0005,O=C(CSc1nnnn1-c1cccc2ccccc12)N1CCCc2ccccc21,0.640084445476532,0.2947118878364563,-0.755620718,-0.6138712764
NVIC0006,COc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](NCCCCCCN3C(=O)C=CC3=O)CC[C@@H]12,0.5376780033111572,0.6114511489868164,-1.280136347,-1.224119186
NVIC0007,CC(C)C[C@@H]1N[C@@H]2N(C1=O)c1ccccc1[C@]21C[C@@H]2C(=O)N[C@](C)(O1)c1nc3ccccc3c(=O)n12,0.14066973328590393,0.5555304884910583,-1.736675024,-1.753957868
NVIC0008,COc1ccccc1-c1cc2ccc(Cl)cc2[nH]c1=O,0.41145581007003784,0.4886617362499237,-1.153112411,-1.192908406
NVIC0009,N/C(=N\Cc1ccccc1)NC(=O)c1nc(Cl)c(N)nc1N,0.5813730955123901,0.5958315134048462,-0.8660721183,-0.8851685524
NVIC0010,CC(C)[C@@]1(O)[C@@H](OC(=O)c2ccc[nH]2)[C@@]2(O)[C@@]3(C)C[C@]4(O)O[C@@]5([C@H](O)[C@@H](C)CC[C@]35O)[C@@]2(O)[C@]41C,0.23722049593925476,0.7217105031013489,-1.032125354,-0.9987365007
NVIC0011,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c(C)cccc12,0.6421509385108948,0.4682660400867462,-1.0084759,-1.015575647
NVIC0012,OC[C@H]1O[C@@H](OC[C@H]2O[C@H](O[C@]3(CO)O[C@H](CO)[C@@H](O)[C@@H]3O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,0.06364709883928299,0.620401918888092,-0.5137988329,-0.4848416746
NVIC0013,COc1ccc2sc(NC(c3ccc(OC(F)F)cc3)c3ccc4cccnc4c3O)nc2c1,0.5010753273963928,0.5699847936630249,-1.18537271,-1.066928029
NVIC0014,CNc1ccc2oc(C[C@H]3O[C@@]4(CC[C@H]3C)O[C@H]([C@H](C)C(=O)c3ccc[nH]3)[C@H](C)C[C@H]4C)nc2c1C(=O)O,0.13185566663742065,0.7816620469093323,-0.8458734155,-0.7334452271
NVIC0015,CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,0.786978006362915,0.5404289364814758,-0.3073720932,-0.04143988341
NVIC0016,CCN(CC)c1ccc(C(=C2C=CC(=[N+](CC)CC)C=C2)c2ccccc2)cc1,0.43725764751434326,0.5252682566642761,-0.1438170671,-0.03816132993
NVIC0017,NC(=O)c1[nH]nc([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c1O,0.08507788181304932,0.5862945318222046,-0.5958960652,-0.6835906506
NVIC0018,Nc1nc2c(c(=O)[nH]1)NC(CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)CN2,0.22700729966163635,0.7389998435974121,-0.4696826935,-0.355864048
NVIC0019,Oc1ccc(/C=N\Nc2nc(Nc3ccccc3)nc(N3CCOCC3)n2)cc1,0.6424328684806824,0.5367611646652222,-0.5963707566,-0.4790385365
NVIC0020,COc1cc(/C=N\Nc2cc(N3CCOCC3)nc(N3CCOCC3)n2)ccc1O,0.4253273010253906,0.6260955929756165,-0.5210923553,-0.4332338274
NVIC0021,COc1ccc(/C=C2/SC(=N)NC2=O)cc1O,0.5422385931015015,0.6036834716796875,-1.021326303,-1.100778341
NVIC0022,C[C@@H]1N[C@@H]2N(C1=O)c1ccccc1[C@@]21C[C@H]2n3c(nc4ccccc4c3=O)C(=O)C(C)(C)[C@@]2(O)O1,0.3642054498195648,0.5757808089256287,-1.350279331,-1.313894153
NVIC0023,CC1(C)C=Cc2cc3c(cc2O1)NC(=O)[C@]31C[C@@]23NC(=O)[C@]4(CCCN4C2=O)C[C@@H]3C1(C)C,0.323703408241272,0.5149093866348267,-0.8029038906,-0.7878731489
NVIC0024,O=C(O)[C@H]1O[C@@H](Oc2c(O)cc(O)c3c(=O)c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c(-c4ccc(O)c(O)c4)oc23)[C@H](O)[C@@H](O)[C@@H]1O,0.24437472224235535,0.7371703386306763,-0.4934359193,-0.4747444987
NVIC0025,CN(C(=O)COc1cccc2c1OC(C)(C)C2)c1nc2c(s1)CCCC2,0.7041447162628174,0.3767635226249695,-0.8190095425,-0.7987921238
NVIC0026,O=C(O)c1cc(-c2ccc(/C=C3\SC(=S)N(CCc4ccc(OCC5CC5)cc4)C3=O)o2)ccc1Cl,0.2723628282546997,0.6113201379776001,-1.340986371,-1.232849717
NVIC0027,C[C@@H]1C[C@@]23C[C@H]4C(C)(C)[C@@]5(C[C@]4(C[N+]2([O-])C1)N(C)C3=O)C(=O)Nc1c5ccc2c1C(=O)CC(C)(C)O2,0.8802000880241394,0.4560316503047943,-0.340105921,-0.1342606544
NVIC0028,OC[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO,0.0549350343644619,0.5753896236419678,-0.4766648114,-0.4914659262
NVIC0029,NCCOB(c1ccccc1)c1ccccc1,0.8516892790794373,0.619098424911499,-0.9832594395,-1.055399418
NVIC0030,CC(C)C1=Cc2ccc3c(c2C(=O)C1=O)CCCC3(C)C,0.5483128428459167,0.42080259323120117,-0.9981076121,-0.9390233159
NVIC0031,NC(N)=NC(=O)c1nc(Cl)c(N)nc1N,0.17997345328330994,0.6501851677894592,-0.9404681921,-1.015913367
NVIC0032,CCCCN(CCCNC(=O)OC(C)(C)C)C(=O)c1ccc(OC)c(OC)c1,0.7787829637527466,0.44187164306640625,-0.2204601467,-0.107648842
NVIC0033,CCOC(=O)C1=C(C)N=c2s/c(=C/c3cc(Br)ccc3OC(C)=O)c(=O)n2C1c1ccccc1,0.6086755990982056,0.3768782913684845,-1.05506897,-0.8728872538
NVIC0034,O=S(=O)(Nc1ccc(-n2cnnn2)cc1)C1=Cc2ccccc2CC1,0.5284920930862427,0.6165154576301575,-0.6887310743,-0.5716152787
NVIC0035,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,0.09506499022245407,0.43391814827919006,-1.671093941,-1.78819716
NVIC0036,C[C@@H]1CN(C2=NC(=O)/C(=C/c3cn(-c4ccccc4)nc3-c3cc4ccccc4o3)S2)C[C@@H](C)O1,0.32148897647857666,0.43875905871391296,-1.667304158,-1.549165249
NVIC0037,CCN(c1nc(N)c(C(=O)N=C(N)N)nc1Cl)C(C)C,0.5413513779640198,0.5480291247367859,-0.4325627387,-0.5051989555
NVIC0038,CSC[C@H]1O[C@@H](n2ccc3c(N)ncnc32)[C@H](O)[C@@H]1O,0.6393905282020569,0.5806479454040527,-0.420701623,-0.3854725063
NVIC0039,Nc1ncnc2nc[nH]c12,0.544574499130249,0.6731648445129395,-0.3608710468,-0.3259467483
NVIC0040,NC(=O)c1c(/N=c2\oc3cc(O)ccc3cc2C(N)=O)sc2c1CCCC2,0.6100770235061646,0.6948410272598267,-0.672110796,-0.5637982488
NVIC0041,Cc1ccc(Cn2c(CO)cnc2SCC(=O)N2CCCc3ccccc32)cc1,0.7022811770439148,0.4672219753265381,-0.6971838474,-0.5242012739
NVIC0042,Cn1c(=O)c2c(SCC(=O)NCCc3ccccc3)nc(-c3ccco3)nc2n(C)c1=O,0.4101138412952423,0.38232576847076416,-0.7546868324,-0.7260352969
NVIC0043,O=C(NCC1CCCO1)C(=O)Nc1c2c(nn1-c1ccc(F)cc1)CSC2,0.48628270626068115,0.42055433988571167,-0.6271374226,-0.5345175266
NVIC0044,O=C(O)c1cc(-c2ccc(/C=C3\SC(=S)N(CCc4ccccc4)C3=O)o2)ccc1Cl,0.19849948585033417,0.5045349597930908,-1.473756313,-1.422103643
NVIC0045,O=C(Nc1cccc(-c2ccccc2)c1)N1CCN(C(=O)Nc2cccc(-c3ccccc3)c2)CC1,0.3401761054992676,0.6481773853302002,-0.6236194968,-0.5249165893
NVIC0046,Cn1c(=O)cc(-c2cccc(Cl)c2)c2cc(Cn3cncc3C(O)c3ccc(C#N)cc3)ccc21,0.6829273104667664,0.47437068819999695,-0.8112416267,-0.6883416176
NVIC0047,CN1CCC[C@@H]1CCOC(COC(=O)/C=C/C(=O)O)(c1ccccc1)c1ccc(Cl)cc1,0.27886712551116943,0.804236888885498,-1.01990962,-0.9557465911
NVIC0048,CC(C)(C)c1cc(O)c(C(C)(C)C)cc1O,0.903662919998169,0.5530784726142883,-0.5136061907,-0.3859512806
NVIC0049,[Fe],0.4189164638519287,0.400477796792984,-0.7483741045,-0.7545974255
NVIC0050,Cc1cccc(Cc2nn(C(C)(C)C)c3ncnc(N)c23)c1,0.4767594337463379,0.38699159026145935,-1.006835818,-0.9079983234
NVIC0051,Cn1c(=O)c2c(ncn2C)n(C)c1=O,0.7395893931388855,0.3789185881614685,0.1444447339,0.0987812951207161
NVIC0052,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,0.8954262137413025,0.5959592461585999,-0.5498219132,-0.4738428593
NVIC0053,CN(C)S(=O)(=O)c1ccc2c(c1)CCN2S(=O)(=O)c1cccs1,0.592771053314209,0.23271462321281433,-0.6709007621,-0.6979706287
NVIC0054,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,0.7264089584350586,0.6679689288139343,-1.093463898,-1.128457904
NVIC0056,CCCCCCCCCCCCCC(=O)O[C@@H]1[C@@H](C)[C@@]2(O)[C@@H](C=C(CO)C[C@]3(O)C(=O)C(C)=C[C@@H]23)[C@@H]2C(C)(C)[C@]12OC(C)=O,0.7389330863952637,0.4507640600204468,-1.385664463,-1.314745545
NVIC0057,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,0.8905227184295654,0.5654731392860413,-0.6988737583,-0.5056481957
NVIC0058,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,0.798884928226471,0.5788289308547974,-1.331032395,-1.273914456
NVIC0059,O=C(O)c1ccc2c(=O)c(C(=O)O)c[nH]c2c1,0.12838086485862732,0.6594104170799255,-0.3265247941,-0.2431822419
NVIC0060,Cc1cc(-c2ccc(N3C(=O)CC4(CCCC4)C3=O)c(C)c2)ccc1N1C(=O)CC2(CCCC2)C1=O,0.21451115608215332,0.3886134922504425,-1.287916064,-1.200921655
NVIC0061,NCC1(CC(=O)O)CCCCC1,0.1564902514219284,0.7158219814300537,-0.6742371917,-0.6918542385
NVIC0062,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1,0.30185452103614807,0.5751092433929443,-0.1959677041,-0.1327327192
NVIC0063,Cc1cc(=O)c2c(O)c3c(O)cc(O)c4c5c(O)cc(O)c6c(O)c7c(=O)cc(C)c8c1c2c(c34)c(c65)c78,0.2840232849121094,0.6968494653701782,-1.132815957,-0.9649817944
NVIC0064,CC(=O)N(CC(O)CN(C(C)=O)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I,0.05021433159708977,0.6370527148246765,-0.4361880422,-0.394913584
NVIC0065,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,0.440341979265213,0.5358942151069641,-0.2522770166,-0.28629601
NVIC0066,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,0.8306823968887329,0.6319378018379211,0.1661804616,0.3872292935848236
NVIC0067,O=C(Nc1cccc2ccccc12)c1c(NC(=O)C(F)(F)F)sc2c1CCCC2,0.41854122281074524,0.5469609498977661,-1.324004173,-1.248558283
NVIC0068,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,0.21448664367198944,0.609300434589386,-0.4995907247,-0.4543361068
NVIC0069,CSC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,0.6032187342643738,0.5547571182250977,-0.3508645296,-0.3524511158
NVIC0070,NC(N)=NCCC[C@H](N)C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CO)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)O,0.14967511594295502,0.7073656916618347,0.1583583057,0.2855184078216553
NVIC0071,O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)cc(O)c21,0.910154402256012,0.6679374575614929,0.1796405911,0.2980320453643799
