NVIC_id,SMILES,CLp_c,CLr,T50,MRT
NVIC0072,CC[C@@]1([C@@H]2O[C@@H]([C@H]3O[C@@](O)(CO)[C@H](C)C[C@@H]3C)C[C@@H]2C)CC[C@H]([C@]2(C)CC[C@]3(C[C@H](O)[C@@H](C)[C@@H]([C@@H](C)[C@@H](OC)[C@H](C)C(=O)O)O3)O2)O1,0.1736263930797577,0.6158069968223572,-1.557820797,-1.55967629
NVIC0073,CCn1cc(C(=O)NCc2ccc(Cl)cc2)c(=O)c2ccc(C(F)(F)F)cc21,0.4093266725540161,0.4373454749584198,-1.250953197,-1.211223602
NVIC0074,NC(=O)C1CCN(c2cc3c(cc2F)c(=O)c(C(=O)NCc2ccc(Cl)cc2Cl)cn3C2CC2)CC1,0.4733312726020813,0.5458024144172668,-1.252163172,-1.135151267
NVIC0075,CCOC(=O)C1CCN(c2cc3c(cc2F)c(=O)c(C(=O)NCc2ccc(Cl)cc2Cl)cn3CC)CC1,0.6305892467498779,0.5584748387336731,-1.069588304,-0.9090389013
NVIC0076,CCOC(=O)N1CCN(c2cc3c(cc2F)c(=O)c(C(=O)NCc2ccc(Cl)cc2Cl)cn3CC)CC1,0.5916961431503296,0.5615651607513428,-0.8886007667,-0.709153533
NVIC0077,CCOC(=O)N1CCN(c2cc3c(cc2F)c(=O)c(C(=O)NCc2ccc(Cl)cc2Cl)cn3C2CC2)CC1,0.5886939764022827,0.5221242308616638,-0.9787320495,-0.7962955236
NVIC0078,N#C[C@@]1(c2ccc3c(N)ncnn23)O[C@H](CO)[C@@H](O)[C@H]1O,0.4345800280570984,0.4692261815071106,-0.4186522365,-0.4242364764
NVIC0079,CCCCCCCC/C=C\CCCCCCCC(=O)O,0.25206661224365234,0.3283174932003021,-1.639996767,-1.549303412
NVIC0080,C/C=C(/C)C(=O)O[C@H]1C(C)=C2[C@@H]3OC(=O)[C@@](C)(O)[C@@]3(O)[C@@H](OC(=O)CCC)C[C@](C)(OC(C)=O)[C@H]2[C@@H]1OC(=O)CCCCCCC,0.7069987058639526,0.4402560889720917,-1.23361063,-1.127877474
NVIC0081,Nc1ncnc2c([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)[nH]nc12,0.20074860751628876,0.6639556288719177,-0.4090375006,-0.450579226
NVIC0082,C[C@@H](NC(=O)C(=O)c1ccc(C2CCCCC2)cc1)C(C)(C)C,0.6017255187034607,0.35649779438972473,-1.033549428,-0.9150890708
NVIC0083,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],0.7153883576393127,0.33021441102027893,-1.022217035,-0.9913495183
NVIC0084,CC/C(=C(\c1ccc(O)cc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,0.7700386643409729,0.6323757171630859,-1.034433126,-0.9887059927
NVIC0085,C#Cc1c(C(N)=O)ncn1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,0.41579580307006836,0.5935798287391663,-0.2622067332,-0.3420887589
NVIC0086,[N-]=[N+]=N[C@]1(CO)O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O,0.5245682597160339,0.5748140215873718,-0.2066860795,-0.2027190626
NVIC0087,CCCCCCCCc1[nH]c2cccc3c2c1C[C@@H](CO)NC(=O)[C@H](C(C)C)N3C,0.8626001477241516,0.5066053867340088,-0.3777488172,-0.2157998383
NVIC0088,CC(C)C[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,0.8368707895278931,0.4962238073348999,0.1441082656,0.46078866720199585
NVIC0089,COc1ccc(P(=S)(S)N2CCOCC2)cc1,0.4786035120487213,0.25740817189216614,-0.835649848,-0.745898962
NVIC0090,CC(COc1ccccc1)N(CCCl)Cc1ccccc1,0.8490706086158752,0.4344736933708191,-0.7911083698,-0.8464276791
NVIC0091,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1,0.7404459118843079,0.3344554007053375,-0.2141160369,-0.1358187497
NVIC0092,NC(=O)c1nc(F)c[nH]c1=O,0.3067483901977539,0.5504512190818787,-0.373993963,-0.4587301612
NVIC0093,CC(C)NCC(O)COc1cccc2ccccc12,0.7902269959449768,0.6318250298500061,-0.7865338326,-0.8606500626
NVIC0094,O=C1CC(c2ccc3c(c2)OCO3)c2c([nH]c(SCc3cccc(F)c3)nc2=O)N1,0.5097106695175171,0.6123760938644409,-0.8604590893,-0.8032868505
NVIC0095,O=C(Nc1ccccc1F)N[C@H]1N=C(c2ccccc2)c2ccccc2NC1=O,0.1927862912416458,0.6770004630088806,-1.118927717,-1.135638118
NVIC0096,C/C=C/CC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C,0.4947320818901062,0.5268216729164124,-1.028733015,-0.9068202972
NVIC0097,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)CCCC(C)C,0.2560040354728699,0.42839744687080383,-2.195652246,-2.226984501
NVIC0098,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,0.4128261208534241,0.7847139835357666,-0.3823081553,-0.3196005821
NVIC0099,CC(=O)c1c(O)c(C)c(O)c(Cc2c(O)c3c(c(C(=O)/C=C/c4ccccc4)c2O)OC(C)(C)C=C3)c1O,0.7928452491760254,0.6630663275718689,-0.5588496923,-0.4164954424
NVIC0100,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)CCCC(C)(C)O,0.24927575886249542,0.5733348727226257,-1.582493186,-1.580788016
NVIC0101,C1CCC[C@@H]2CCCN3CC[C@H](CCCCCC[C@H]4CCCN5CC[C@H](CC1)O[C@H]45)O[C@H]23,0.6549596786499023,0.4752032458782196,-1.802466154,-1.853336096
NVIC0102,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,0.42089924216270447,0.5060417652130127,-1.86990571,-1.900917649
NVIC0103,C/C=C1\CN2CCc3c([nH]c4ccccc34)C2CC1C(Cc1c[n+]2c(c3[nH]c4ccccc4c13)CC1C(C(=O)OC)=COC(C)C1C2)C(=O)OC,0.9178624153137207,0.7363837361335754,-0.04992529005,0.22323167324066162
NVIC0104,C/C(=N\NC(=O)c1ccncc1)C(=O)O,0.3489093780517578,0.5346077084541321,-0.2439982891,-0.2597908378
NVIC0105,O=C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO[C@H]1O[C@H](CO[C@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H](O)[C@H]1O,0.08473969250917435,0.6703972816467285,-0.3251652122,-0.325380832
NVIC0106,N#C[C@@]1(c2ccc3c(N)ncnn23)O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,0.16988882422447205,0.47427627444267273,-0.4964457154,-0.4069420099
NVIC0107,CC(=O)Nc1ccc(/C(C)=N\Nc2nc(Nc3ccccc3)nc(N3CCOCC3)n2)cc1,0.271374374628067,0.5440282821655273,-1.410406947,-1.361115694
NVIC0108,Cc1cccn2c(=O)c(-c3nn[nH]n3)cnc12,0.5089849829673767,0.5825417637825012,-0.262752831,-0.227483958
NVIC0109,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,0.2514132261276245,0.5944316983222961,-0.6029678583,-0.5227447748
NVIC0110,O=c1cnn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,0.2533254325389862,0.5747866034507751,-0.395606339,-0.4271209538
NVIC0111,CCOC(=O)C1=C(COCCNc2ccccc2S(=O)(=O)O)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,0.5699242949485779,0.7060142159461975,-0.05156507343,0.1954839825630188
NVIC0112,COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C,0.8052778840065002,0.6325656771659851,-0.9040602446,-0.8953409195
NVIC0114,CN1C(=O)[C@]23CC4=CC=C[C@H](O)[C@H]4N2C(=O)[C@@]1(CO)SS3,0.727819561958313,0.509905219078064,0.4626036882,0.48780524730682373
NVIC0115,NC(=O)CC[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H](N)CSSC[C@@H](C(=O)N2CCC[C@H]2C(=O)N[C@@H](CCCN=C(N)N)C(=O)NCC(N)=O)NC(=O)[C@H](CC(N)=O)NC1=O,0.19338956475257874,0.7074437141418457,-0.1890910864,-0.1434056759
NVIC0116,Cl[La](Cl)Cl,0.7328393459320068,0.28472626209259033,-0.7258180976,-0.7572171688
NVIC0117,CCN(CCCC(C)Nc1ccnc2cc(Cl)ccc12)CCOP(=O)(O)OOP(=O)(O)O,0.4970749616622925,0.6239152550697327,-0.293472141,-0.03617509454
NVIC0118,C[C@H](CCCC(C)(C)O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,0.435703307390213,0.34324920177459717,-1.955929399,-1.947271943
NVIC0120,O=c1[nH]c2cc(Cl)cc(Cl)c2c(O)c1SCCCc1cncnc1,0.8162891864776611,0.6359979510307312,-0.5022516847,-0.3121285439
NVIC0121,C[C@H](C[C@H](C)C(=O)/C=C(\O)[C@H](C)C[C@H](C)C/C=C/[C@@H](C)[C@@H](O)[C@@H](C)[C@@H](O)C[C@@H]1CC[C@@](C)([C@H]2CC[C@@](C)([C@@H](C)O)O2)O1)C[C@H](C)CCC(=O)O,0.4817112386226654,0.553921103477478,-0.9689712524,-0.7644978762
NVIC0122,O=C1CN(/N=C/c2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)N1,0.1299215406179428,0.2164067178964615,-1.523410439,-1.689752817
NVIC0123,COc1ccc2cc1Oc1ccc(cc1)C[C@H]1c3cc(c(OC)cc3CCN1C)Oc1c(OC)c(OC)cc3c1[C@H](C2)N(C)CC3,0.632967472076416,0.5465863943099976,-1.950140953,-1.919273734
NVIC0124,C=CCc1cccc2cc(C(=O)Nc3ccccc3C(=O)O)c(=O)oc12,0.17769210040569305,0.6719330549240112,-0.8360255957,-0.8267199993
NVIC0125,CCNc1nc(NC(C)(C)C)nc(N(C#N)CC(=O)OC)n1,0.5785223245620728,0.3457118570804596,-0.05439150333,0.08289866894483566
NVIC0126,Cc1ccc(-n2c3c(cc(C(=O)N4CCOCC4)c2=O)C(=O)CC(C)(C)C3)cc1,0.39838266372680664,0.21080845594406128,-0.6840727329,-0.5894815922
NVIC0127,C(=N/Nc1nc(Nc2ccccc2)nc(N2CCOCC2)n1)\c1cccnc1,0.59369295835495,0.5426732897758484,-0.905449152,-0.794483006
NVIC0128,O=S(=O)(Nc1ccc(-n2cnnn2)cc1)c1ccc(F)c(F)c1,0.14885485172271729,0.29281118512153625,-1.568777561,-1.602426648
NVIC0129,COC(=O)CN(C#N)c1nc(NC(C)C)nc(NC(C)C)n1,0.48966342210769653,0.38018137216567993,0.03684148937,0.13585078716278076
NVIC0130,O=C(O)CCCc1c[nH]c2ccccc12,0.13601474463939667,0.5732540488243103,-0.6083590984,-0.6122587919
NVIC0131,O=C(O)c1c[nH]c2cccc(C(=O)O)c2c1=O,0.17902354896068573,0.6707754731178284,-0.483561784,-0.4245691597
NVIC0132,Cc1ccc(NC(=O)N[C@@H](C(=O)N2CCc3ccccc32)c2ccccc2)cc1,0.3613399565219879,0.5026063323020935,-0.8503693938,-0.776335597
NVIC0133,OC[C@H]1O[C@H](OC[C@H]2O[C@H](OC[C@H]3O[C@H](OC4[C@@H](O)[C@@H](O)C(O)[C@@H](O)[C@@H]4O)[C@H](O)[C@@H](O)[C@H]3O)[C@H](O)[C@@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O,0.08873845636844635,0.6442166566848755,-0.3924616277,-0.3670712709
NVIC0134,CCc1ccc(C2c3[nH]c4ccccc4c3CCN2C(=O)C2CCC2)cc1,0.4301564693450928,0.5020068883895874,-1.276982784,-1.132766128
NVIC0135,CC[C@]1(CC2CC(C(=O)OC)=C3Nc4ccccc4[C@]34NCC(Cc3ccccc3)[C@@H]24)COC(C)(C)O1,0.8305197358131409,0.5699961185455322,-0.7811510563,-0.6734268665
NVIC0136,Cc1ccc(S(=O)(=O)CC(=O)NC2NC(c3ccc(O)cc3)=CS2)cc1,0.19566723704338074,0.5651140809059143,-0.9792571068,-0.9690909386
NVIC0137,O=C(c1nc(F)cnc1O)N1CCN(c2nnc(-c3ccccc3)o2)CC1,0.2508162260055542,0.32705050706863403,-0.9351061583,-0.9822371006
NVIC0138,O=C(c1nc(F)cnc1O)N1CCN(c2nnc(-c3ccc(Cl)cc3)o2)CC1,0.12187262624502182,0.3393101692199707,-1.238978863,-1.33784616
NVIC0139,O=C(c1nc(F)cnc1O)N1CCN(c2nnc(-c3ccc(O)cc3)o2)CC1,0.4191696345806122,0.6015916466712952,-0.6339989305,-0.6155372858
NVIC0140,CN(C(=O)CC(=O)N(C)c1c(I)c(C(=O)NC(CO)C(O)CO)c(I)c(C(=O)NC(CO)C(O)CO)c1I)c1c(I)c(C(=O)NC(CO)C(O)CO)c(I)c(C(=O)NC(CO)C(O)CO)c1I,0.05412459373474121,0.6250643134117126,-0.4439586997,-0.4021353126
NVIC0141,Nc1ncnn2c([C@@H]3O[C@H](COP(=O)(O)O)C(O)C3O)ccc12,0.06596404314041138,0.6139581799507141,-0.7167484164,-0.6412448883
NVIC0142,CC=C1CNC2CC34c5ccccc5N[C@H]3C(C)CC1C2C4OC(C)=O,0.8129149079322815,0.6931734085083008,-0.7198493481,-0.7113173008